world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
102141.231835,13169,102141.218171,0.34640443325042725,0.21604663133621216,0.34640443325042725,0.21604663133621216,True,0.9300096310680661
102141.231835,13169,102141.22624,0.3489104211330414,0.21887736022472382,0.3489104211330414,0.21887736022472382,True,0.9525576068589924
102141.231835,13169,102141.234309,0.3514283299446106,0.2217266708612442,0.3514283299446106,0.2217266708612442,True,0.9792351874435017
102141.231835,13169,102141.242378,0.3449399173259735,0.21243777871131897,0.3449399173259735,0.21243777871131897,True,0.9436918996593417
102141.265345,13170,102141.250447,0.34822458028793335,0.21616603434085846,0.34822458028793335,0.21616603434085846,True,0.9936428867840181
102141.265345,13170,102141.258516,0.3457140326499939,0.21792812645435333,0.3457140326499939,0.21792812645435333,True,0.9680133978147081
102141.265345,13170,102141.266585,0.3463574945926666,0.2198307067155838,0.3463574945926666,0.2198307067155838,True,0.9968517670902971
102141.265345,13170,102141.274654,0.34492042660713196,0.22376224398612976,0.34492042660713196,0.22376224398612976,True,0.9943071354968764
102141.298856,13171,102141.282724,0.34569481015205383,0.224513977766037,0.34569481015205383,0.224513977766037,True,0.980491485928517
102141.298856,13171,102141.290793,0.3458617627620697,0.22210514545440674,0.3458617627620697,0.22210514545440674,True,0.9749961178622615
102141.298856,13171,102141.298862,0.3458554148674011,0.22250990569591522,0.3458554148674011,0.22250990569591522,True,0.99621048144696
102141.298856,13171,102141.306931,0.34795230627059937,0.22285139560699463,0.34795230627059937,0.22285139560699463,True,0.9954880189241756
102141.298856,13171,102141.315,0.3471224009990692,0.22182999551296234,0.3471224009990692,0.22182999551296234,True,0.9948905659808043
102141.332366,13172,102141.323069,0.3463055491447449,0.22362715005874634,0.3463055491447449,0.22362715005874634,True,0.9851141110393441
102141.332366,13172,102141.331138,0.3509180247783661,0.2203812450170517,0.3509180247783661,0.2203812450170517,True,0.9957901712639958
102141.332366,13172,102141.339207,0.3493054509162903,0.22428427636623383,0.3493054509162903,0.22428427636623383,True,0.996451030980093
102141.332366,13172,102141.347276,0.35187047719955444,0.22683583199977875,0.35187047719955444,0.22683583199977875,True,0.906183876463191
102141.365877,13173,102141.355345,0.3499232530593872,0.21991559863090515,0.3499232530593872,0.21991559863090515,True,0.996447878106594
102141.365877,13173,102141.363414,0.3500455617904663,0.22153304517269135,0.3500455617904663,0.22153304517269135,True,0.9829566894850211
102141.365877,13173,102141.371483,0.3524607717990875,0.22419171035289764,0.3524607717990875,0.22419171035289764,True,0.8896390350398954
102141.365877,13173,102141.379552,0.34952691197395325,0.21556943655014038,0.34952691197395325,0.21556943655014038,True,0.9242156294704101
102141.399387,13174,102141.387621,0.34944212436676025,0.2110552042722702,0.34944212436676025,0.2110552042722702,True,0.9941147531017196
102141.399387,13174,102141.39569,0.3517892360687256,0.2140628695487976,0.3517892360687256,0.2140628695487976,True,0.90232839055759
102141.399387,13174,102141.403759,0.3491688072681427,0.2063550353050232,0.3491688072681427,0.2063550353050232,True,0.9949634008896815
102141.399387,13174,102141.411828,0.3500209152698517,0.20602071285247803,0.3500209152698517,0.20602071285247803,True,0.9946278092523605
102141.432897,13175,102141.419897,0.3527105152606964,0.20887960493564606,0.3527105152606964,0.20887960493564606,True,0.8131011490404587
102141.432897,13175,102141.427966,0.35483497381210327,0.2110656201839447,0.35483497381210327,0.2110656201839447,True,0.8260197319521849
102141.432897,13175,102141.436035,0.35864120721817017,0.18523558974266052,0.35864120721817017,0.18523558974266052,True,0.8079330741530916
102141.432897,13175,102141.444104,0.36068394780158997,0.1894095540046692,0.36068394780158997,0.1894095540046692,True,0.872967345726052
102141.466408,13176,102141.452174,0.3635709583759308,0.19147183001041412,0.3635709583759308,0.19147183001041412,True,0.773249469696502
102141.466408,13176,102141.460243,0.3657693862915039,0.19334769248962402,0.3657693862915039,0.19334769248962402,True,0.8249129771628121
102141.466408,13176,102141.468312,0.36797836422920227,0.19523531198501587,0.36797836422920227,0.19523531198501587,True,0.8362199592346301
102141.466408,13176,102141.476381,0.3470897078514099,0.1954084187746048,0.3470897078514099,0.1954084187746048,True,0.7641780532006285
102141.499918,13177,102141.48445,0.35114407539367676,0.19799330830574036,0.35114407539367676,0.19799330830574036,True,0.8419832678711137
102141.499918,13177,102141.492519,0.3530885577201843,0.19988180696964264,0.3530885577201843,0.19988180696964264,True,0.7955071506135254
102141.499918,13177,102141.500588,0.35504165291786194,0.2017814815044403,0.35504165291786194,0.2017814815044403,True,0.853185482016126
102141.499918,13177,102141.508657,0.33548998832702637,0.1740230917930603,0.33548998832702637,0.1740230917930603,True,0.717132096898147
102141.533429,13178,102141.516726,0.2886868417263031,0.20811446011066437,0.2886868417263031,0.20811446011066437,True,0.9950739154856987
102141.533429,13178,102141.524795,0.24968218803405762,0.23415234684944153,0.24968218803405762,0.23415234684944153,True,0.9941528820971346
102141.533429,13178,102141.532864,0.18813969194889069,0.2874307334423065,0.18813969194889069,0.2874307334423065,True,0.9901438663111077
102141.533429,13178,102141.540933,0.13985013961791992,0.33494317531585693,0.13985013961791992,0.33494317531585693,True,0.9989344986793316
102141.533429,13178,102141.549002,0.08902429789304733,0.3933350443840027,0.08902429789304733,0.3933350443840027,True,0.9926709751590814
102141.566939,13179,102141.557071,0.05484258383512497,0.42829811573028564,0.05484258383512497,0.42829811573028564,True,0.9979605738594884
102141.566939,13179,102141.56514,0.022820373997092247,0.46320241689682007,0.022820373997092247,0.46320241689682007,True,0.9978217717565515
