69.2652 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.2822 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.2970 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.3164 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3329 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3635 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3660 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.3824 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4161 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4314 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4493 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.4658 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4824 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4983 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5146 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5320 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5493 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5653 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5822 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6162 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6484 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.6652 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6981 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
72.9815 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0158 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0481 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0484 	DATA 	Mouse: wheel shift=(0,0), pos=(1131,370)
74.3307 	DATA 	Mouse: wheel shift=(0,0), pos=(1418,426)
74.7979 	DATA 	Mouse: Left button down, pos=(1805,420)
74.9508 	DATA 	Mouse:  Left button up, pos=(1803,420)
75.4010 	DATA 	Mouse: wheel shift=(0,0), pos=(1028,284)
75.4311 	DATA 	Mouse: Left button down, pos=(1028,284)
75.4482 	DATA 	Mouse: wheel shift=(0,0), pos=(1028,284)
75.5014 	DATA 	Mouse:  Left button up, pos=(1055,284)
75.5313 	DATA 	Mouse: wheel shift=(0,0), pos=(1116,281)
75.6484 	DATA 	Mouse: Left button down, pos=(1139,281)
75.6514 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=        4:
quite a bit
75.6514 	DATA 	RatingScale unnamed RatingScale: rating RT=12.525
75.6514 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('        4:\nquite a bit', 11.675), ('        4:\nquite a bit', 12.525)]
75.6654 	DATA 	Question Number: 29 , Response:         4:
quite a bit
75.7482 	DATA 	Mouse:  Left button up, pos=(1139,281)
75.7981 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8142 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8172 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8311 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8484 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8510 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8649 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8812 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8839 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
76.0653 	DATA 	Mouse: wheel shift=(0,0), pos=(1279,324)
77.2823 	DATA 	Mouse: Left button down, pos=(1284,364)
77.4498 	DATA 	Mouse:  Left button up, pos=(1283,361)
77.8323 	DATA 	Mouse: Left button down, pos=(1312,433)
77.9657 	DATA 	Mouse:  Left button up, pos=(1312,431)
78.2322 	DATA 	Mouse: Left button down, pos=(1299,210)
78.3325 	DATA 	Mouse:  Left button up, pos=(1298,214)
78.5165 	DATA 	Mouse: Left button down, pos=(1315,314)
78.5521 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
78.5521 	DATA 	RatingScale unnamed RatingScale: rating RT=2.859
78.5521 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 2.142), ('       3:\nmoderately', 2.859)]
78.5661 	DATA 	Question Number: 1 , Response:        3:
moderately
78.5946 	DATA 	Mouse:  Left button up, pos=(1301,287)
78.7164 	DATA 	Mouse: Left button down, pos=(1298,283)
78.8000 	DATA 	Mouse:  Left button up, pos=(1299,286)
79.1344 	DATA 	Mouse: Left button down, pos=(1296,370)
79.1821 	DATA 	Mouse:  Left button up, pos=(1297,373)
79.3491 	DATA 	Mouse: Left button down, pos=(1288,398)
79.4498 	DATA 	Mouse:  Left button up, pos=(1288,410)
79.8332 	DATA 	Mouse: Left button down, pos=(1328,257)
79.8364 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
79.8364 	DATA 	RatingScale unnamed RatingScale: rating RT=1.241
79.8364 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.757), ('       3:\nmoderately', 1.241)]
79.8499 	DATA 	Question Number: 9 , Response:        3:
moderately
79.9660 	DATA 	Mouse:  Left button up, pos=(1328,257)
80.0659 	DATA 	Mouse: Left button down, pos=(1327,257)
80.1669 	DATA 	Mouse:  Left button up, pos=(1322,262)
80.4166 	DATA 	Mouse: Left button down, pos=(1271,449)
80.5184 	DATA 	Mouse:  Left button up, pos=(1272,447)
80.8331 	DATA 	Mouse: Left button down, pos=(1270,326)
80.9495 	DATA 	Mouse:  Left button up, pos=(1275,338)
81.1656 	DATA 	Mouse: Left button down, pos=(1275,277)
81.1686 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
81.1686 	DATA 	RatingScale unnamed RatingScale: rating RT=1.290
81.1686 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.542), ('       3:\nmoderately', 1.29)]
81.1830 	DATA 	Question Number: 18 , Response:        3:
moderately
81.3156 	DATA 	Mouse:  Left button up, pos=(1276,272)
81.7005 	DATA 	Mouse: Left button down, pos=(1283,467)
81.8168 	DATA 	Mouse:  Left button up, pos=(1284,466)
82.4670 	DATA 	Mouse: Left button down, pos=(1317,261)
82.4699 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
82.4699 	DATA 	RatingScale unnamed RatingScale: rating RT=1.258
82.4699 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.491), ('       3:\nmoderately', 1.258)]
82.4830 	DATA 	Question Number: 4 , Response:        3:
moderately
82.5670 	DATA 	Mouse:  Left button up, pos=(1317,263)
82.9333 	DATA 	Mouse: Left button down, pos=(1292,429)
83.0375 	DATA 	Mouse:  Left button up, pos=(1292,429)
83.6002 	DATA 	Mouse: Left button down, pos=(1284,278)
83.6032 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
83.6032 	DATA 	RatingScale unnamed RatingScale: rating RT=1.093
83.6032 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.425), ('       3:\nmoderately', 1.093)]
83.6166 	DATA 	Question Number: 15 , Response:        3:
moderately
83.6670 	DATA 	Mouse:  Left button up, pos=(1284,278)
84.0502 	DATA 	Mouse: Left button down, pos=(1297,417)
84.1533 	DATA 	Mouse:  Left button up, pos=(1297,416)
84.5001 	DATA 	Mouse: Left button down, pos=(1283,270)
84.5033 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
84.5033 	DATA 	RatingScale unnamed RatingScale: rating RT=0.858
84.5033 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.407), ('       3:\nmoderately', 0.858)]
84.5172 	DATA 	Question Number: 17 , Response:        3:
moderately
84.6002 	DATA 	Mouse:  Left button up, pos=(1282,267)
84.9513 	DATA 	Mouse: Left button down, pos=(1294,464)
85.0171 	DATA 	Mouse:  Left button up, pos=(1294,463)
85.4000 	DATA 	Mouse: Left button down, pos=(1311,316)
85.5347 	DATA 	Mouse:  Left button up, pos=(1310,313)
85.6508 	DATA 	Mouse: Left button down, pos=(1306,281)
85.6537 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
85.6537 	DATA 	RatingScale unnamed RatingScale: rating RT=1.102
85.6537 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.402), ('       3:\nmoderately', 1.102)]
85.6671 	DATA 	Question Number: 21 , Response:        3:
moderately
85.7836 	DATA 	Mouse:  Left button up, pos=(1305,277)
86.0670 	DATA 	Mouse: Left button down, pos=(1295,451)
86.1841 	DATA 	Mouse:  Left button up, pos=(1295,449)
86.5378 	DATA 	Mouse: Left button down, pos=(1287,242)
86.5383 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
86.5383 	DATA 	RatingScale unnamed RatingScale: rating RT=0.843
86.5383 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.374), ('       3:\nmoderately', 0.843)]
86.5508 	DATA 	Question Number: 14 , Response:        3:
moderately
86.6341 	DATA 	Mouse:  Left button up, pos=(1290,250)
86.9687 	DATA 	Mouse: Left button down, pos=(1298,378)
87.0348 	DATA 	Mouse:  Left button up, pos=(1300,395)
87.3012 	DATA 	Mouse: Left button down, pos=(1301,405)
87.3518 	DATA 	Mouse:  Left button up, pos=(1301,405)
87.6513 	DATA 	Mouse: Left button down, pos=(1279,224)
87.7510 	DATA 	Mouse:  Left button up, pos=(1279,224)
88.3683 	DATA 	Mouse: Left button down, pos=(1290,252)
88.3714 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
88.3714 	DATA 	RatingScale unnamed RatingScale: rating RT=1.792
88.3714 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.425), ('       3:\nmoderately', 1.792)]
88.3844 	DATA 	Question Number: 6 , Response:        3:
moderately
88.4844 	DATA 	Mouse:  Left button up, pos=(1290,260)
88.8523 	DATA 	Mouse: Left button down, pos=(1259,418)
88.9357 	DATA 	Mouse:  Left button up, pos=(1259,416)
89.2710 	DATA 	Mouse: Left button down, pos=(1302,275)
89.2714 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
89.2714 	DATA 	RatingScale unnamed RatingScale: rating RT=0.858
89.2714 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.441), ('       3:\nmoderately', 0.858)]
89.2859 	DATA 	Question Number: 20 , Response:        3:
moderately
89.4014 	DATA 	Mouse:  Left button up, pos=(1301,274)
89.7354 	DATA 	Mouse: Left button down, pos=(1283,437)
89.8356 	DATA 	Mouse:  Left button up, pos=(1283,437)
90.2044 	DATA 	Mouse: Left button down, pos=(1281,293)
90.2049 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
90.2049 	DATA 	RatingScale unnamed RatingScale: rating RT=0.889
90.2049 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.422), ('       3:\nmoderately', 0.889)]
90.2182 	DATA 	Question Number: 8 , Response:        3:
moderately
90.3180 	DATA 	Mouse:  Left button up, pos=(1280,293)
90.5530 	DATA 	Mouse: Left button down, pos=(1278,281)
90.6692 	DATA 	Mouse:  Left button up, pos=(1278,282)
91.0040 	DATA 	Mouse: Left button down, pos=(1282,418)
91.1042 	DATA 	Mouse:  Left button up, pos=(1282,418)
91.8190 	DATA 	Mouse: Left button down, pos=(1306,243)
91.8219 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
91.8220 	DATA 	RatingScale unnamed RatingScale: rating RT=1.576
91.8220 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.758), ('       3:\nmoderately', 1.576)]
91.8363 	DATA 	Question Number: 7 , Response:        3:
moderately
91.9032 	DATA 	Mouse:  Left button up, pos=(1306,243)
92.4192 	DATA 	Mouse: Left button down, pos=(1278,405)
92.4888 	DATA 	Mouse:  Left button up, pos=(1278,405)
92.9388 	DATA 	Mouse: Left button down, pos=(1287,224)
93.0360 	DATA 	Mouse:  Left button up, pos=(1287,226)
93.2869 	DATA 	Mouse: Left button down, pos=(1287,238)
93.2901 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
93.2901 	DATA 	RatingScale unnamed RatingScale: rating RT=1.425
93.2901 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.556), ('       3:\nmoderately', 1.425)]
93.3027 	DATA 	Question Number: 13 , Response:        3:
moderately
93.3885 	DATA 	Mouse:  Left button up, pos=(1286,248)
93.8363 	DATA 	Mouse: Left button down, pos=(1289,402)
93.9362 	DATA 	Mouse:  Left button up, pos=(1289,403)
94.5033 	DATA 	Mouse: Left button down, pos=(1286,275)
94.5065 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
94.5065 	DATA 	RatingScale unnamed RatingScale: rating RT=1.175
94.5065 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.507), ('       3:\nmoderately', 1.175)]
94.5200 	DATA 	Question Number: 12 , Response:        3:
moderately
94.5863 	DATA 	Mouse:  Left button up, pos=(1286,278)
94.9533 	DATA 	Mouse: Left button down, pos=(1293,415)
95.0528 	DATA 	Mouse:  Left button up, pos=(1293,415)
95.4029 	DATA 	Mouse: Left button down, pos=(1282,218)
95.5360 	DATA 	Mouse:  Left button up, pos=(1281,217)
95.8362 	DATA 	Mouse: Left button down, pos=(1282,248)
95.8391 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
95.8391 	DATA 	RatingScale unnamed RatingScale: rating RT=1.291
95.8391 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.407), ('       3:\nmoderately', 1.291)]
95.8527 	DATA 	Question Number: 16 , Response:        3:
moderately
95.9534 	DATA 	Mouse:  Left button up, pos=(1284,256)
96.3363 	DATA 	Mouse: Left button down, pos=(1304,391)
96.4201 	DATA 	Mouse:  Left button up, pos=(1304,391)
96.7066 	DATA 	Mouse: Left button down, pos=(1288,255)
96.7070 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
96.7070 	DATA 	RatingScale unnamed RatingScale: rating RT=0.823
96.7070 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.454), ('       3:\nmoderately', 0.823)]
96.7216 	DATA 	Question Number: 24 , Response:        3:
moderately
96.8547 	DATA 	Mouse:  Left button up, pos=(1288,255)
97.2233 	DATA 	Mouse: Left button down, pos=(1298,464)
97.3713 	DATA 	Mouse:  Left button up, pos=(1298,464)
97.8872 	DATA 	Mouse: Left button down, pos=(1306,299)
97.8901 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
97.8901 	DATA 	RatingScale unnamed RatingScale: rating RT=1.138
97.8901 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.487), ('       3:\nmoderately', 1.138)]
97.9036 	DATA 	Question Number: 31 , Response:        3:
moderately
97.9711 	DATA 	Mouse:  Left button up, pos=(1306,299)
98.2040 	DATA 	Mouse: Left button down, pos=(1296,276)
98.2715 	DATA 	Mouse:  Left button up, pos=(1296,276)
98.7208 	DATA 	Mouse: Left button down, pos=(1292,431)
98.7882 	DATA 	Mouse:  Left button up, pos=(1292,431)
99.2049 	DATA 	Mouse: Left button down, pos=(1293,281)
99.2082 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
99.2082 	DATA 	RatingScale unnamed RatingScale: rating RT=1.276
99.2082 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.791), ('       3:\nmoderately', 1.276)]
99.2218 	DATA 	Question Number: 2 , Response:        3:
moderately
